id	input	action	output	evidence	human_decision
S01	PSB of the target project; Armature repository URL	Ask the Operator the project decisions that no file answers: stack, repository name and visibility, gate mode	Operator decisions in Git (setup record, Operator decisions table)	The Operator's answers, with the date	yes
S02	Armature repository URL	Read the current main commit with gh api repos/<owner>/armature/commits/main; copy that exact commit with npx degit <owner>/armature#<sha> <dir>	A project directory with the kit files and no Git history	The gh api output (SHA); the degit command line	no
S03	The copied directory	git init; commit the unmodified copy as the root commit; create the remote; push main BEFORE the hooks are installed (the pre-push hook refuses a push to main)	Root commit = the kit tree; remote main	git rev-parse <root>^{tree} equals the Armature commit tree (GitHub API)	yes
S04	Root commit, Armature SHA	sh .githooks/install.sh (it sets core.hooksPath to the relative .githooks); write docs/setup/armature.pin (source, commit, tree, method, date); ADR for the pin	Pin file; ADR; check pin passes	git config core.hooksPath prints .githooks; setup-check pin OK	no
S05	The kit's own history	Delete docs/decisions/, docs/audit/, kit docs/tasks/T-*.md, kit completed-log entries, kit backlog lines and notes; fix the links	No kit history; check kit-history passes	setup-check kit-history OK; link-lint OK	no
S06	PSB file and other source briefs	Copy each file byte-identical into docs/facts/; write F-NNNN records with numbered verbatim facts; hash the files into docs/setup/facts.sha256; index rows	Raw facts with IDs; check facts passes	sha256 values; setup-check facts OK	no
S07	F-0001	Rewrite docs/onboarding-for-engineers.md from the PSB, each claim cited as F-0001#n; keep the kit's process sections	Onboarding bound to the PSB; check onboarding passes	Semantic-agreement review round; setup-check onboarding OK	no
S08	PSB terms section	Add each PSB term row to docs/glossary.md word for word, with collision notes and its F-0001#n	Glossary domain section; check glossary passes	Semantic-agreement review round; setup-check glossary OK	no
S09	PSB System Invariants	Add one guardrails entry per invariant: statement with F-0001#n, trap, and Check (path plus gate, or no check yet)	Guardrails invariants; check guardrails passes	setup-check guardrails OK; review of each Check value	no
S10	All remaining adopter markers	List every marker; separate those a file or command answers from those that need a decision; ask the Operator every open question in ONE batch	Operator decisions in Git; the questions that stay open	The Operator's batch answers, copied into the setup record	yes
S11	Markers, decisions, command references	Fill each marker that has a source and write its record row (value, file, evidence, status active / not active / recorded); list the rest in docs/setup/open-gaps.tsv with a question	No unlisted marker; check markers passes	Record rows; setup-check markers OK	no
S12	The kit's active workflows	Keep the kit's workflows and replace their headers; add a Restore step to every workflow that runs a check script and lacks one (at the pin, pr-link.yml and review-record.yml lack it: finding K-08); add the setup-check job with fetch-depth 0 and a Restore step	CI runs every check from the default branch; check ci passes	CI run logs show each script restored from the default branch; setup-check ci OK (cause restore)	no
S13	Job names of every workflow	Write docs/setup/branch-protection.json (one required check per job, pinned to the GitHub Actions app); wait until each job has reported once; review the body; PUT it; read it back	main requires every job; check protection passes	gh api read-back equals the file	yes
S14	README.md, AGENTS.md	Rewrite the identity text to name the project and link the pin; keep every rule text	Entry files describe the project; check identity passes	Semantic-agreement review round; setup-check identity OK	no
S15	The steps above	Write this procedure and the measured record; replace the kit section How to adapt this kit with a link to it	docs/setup/README.md and steps.tsv; check procedure passes	setup-check procedure OK	no
